NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
830052449,SODECA LATAM SAS,SUPERSOCIEDADES,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,MANUFACTURA,0.02,0.0,0.02,0.02,0.0
802013872,CALIDAD MEDICA IPS SAS,SUPERSALUD,CESAR,VALLEDUPAR-CESAR,SERVICIOS,0.02,0.0,0.02,0.02,0.0
900353914,AMGO CONSTRUCCIONES SAS,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,SERVICIOS,0.02,0.0,0.01,0.0,0.0
800243424,TEXTILES GUARNE SAS,SUPERSOCIEDADES,ANTIOQUIA,SABANETA -ANTIOQUIA,MANUFACTURA,0.02,0.0,0.02,0.01,0.02
811012769,PASTELPAN LAS ENVINADAS DE BUENOS AIRES SAS,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,0.02,0.0,0.01,0.0,0.0
900023929,TREVINCA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.07,0.04,0.03
900552635,CONSTRUCTORA NQS S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.25,0.05,0.2
900417042,SUPERMERCADO OLIVAN SAS,SUPERSOCIEDADES,CUNDINAMARCA,LA-CALERA-CUNDINAMARCA-CUNDINAMARCA,COMERCIO,0.02,0.0,0.0,0.0,0.0
812003851,ESE HOSPITAL SAN JUAN DE SAHAGUN,SUPERSALUD,CORDOBA,SAHAGUN-CORDOBA,SERVICIOS,0.02,0.0,0.02,0.01,0.01
830037203,FM INGENIERIA SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,CONSTRUCCIÓN,0.02,0.0,0.04,0.0,0.03
890901156,CONSTRUCTORA PRECOMPRIMIDOS S.A.,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,CONSTRUCCIÓN,0.02,0.0,0.05,0.01,0.04
830048718,PLASTEMPACK DE COLOMBIA S.A.S.,SUPERSOCIEDADES,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,COMERCIO,0.02,0.0,0.01,0.01,0.01
891201840,PANAVIAS INGENIERIA Y CONSTRUCCIONES S.A,SUPERSOCIEDADES,NARIÑO,PASTO-NARIÑO,CONSTRUCCIÓN,0.02,0.0,0.01,0.01,0.01
900171183,JFD INVERSIONES SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.09,0.05,0.04
900659494,FARMALATAM COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,-0.01,0.02,0.0,0.02
900174333,PALMERAS DEL CARMEN SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,AGROPECUARIO,0.02,0.0,0.04,0.01,0.03
816000975,FLEXCO S.A.S,SUPERSOCIEDADES,RISARALDA,DOSQUEBRADAS-RISARALDA,MANUFACTURA,0.02,0.0,0.02,0.01,0.01
830042086,LABORATORIOS DECNO S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,-0.0,0.02,0.01,0.0
900343005,ALIMENTOS RIE SAS,SUPERSOCIEDADES,CUNDINAMARCA,GRANADA-CUNDINAMARCA-CUNDINAMARCA,SERVICIOS,0.02,0.0,0.01,0.0,0.0
900540562,MACS COMERCIALIZADORA Y DISTRIBUIDORA SAS B.I.C.,SUPERSOCIEDADES,TOLIMA,MELGAR-TOLIMA,COMERCIO,0.02,0.0,0.01,0.01,0.0
901306431,SYSTEMGROUP NPL CO SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.03,0.02,0.01
900059534,INTERGASTRO S.A,SUPERSALUD,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,0.02,0.0,0.01,0.01,0.0
900284191,INVERSIONES COPSERVIMOS SA,SUPERSOCIEDADES,TOLIMA,IBAGUE-TOLIMA,SERVICIOS,0.02,0.0,0.01,0.0,0.0
890108961,HIDROMAC SAS,SUPERSOCIEDADES,ATLANTICO,SOLEDAD-ATLANTICO,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
830046064,ALMACOR DE COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,0.0,0.02,0.01,0.01
900586030,MEGA AIRES SAS,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CONSTRUCCIÓN,0.02,0.0,0.01,0.0,0.0
800151102,MIRAFLEX SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.0,0.01
890300707,NACIONAL DE COMERCIO NADELCO SA,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,0.02,0.0,0.01,0.0,0.01
860354397,AGROREYES S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,AGROPECUARIO,0.02,0.0,0.03,0.01,0.02
806006414,ESE HOSPITAL LOCAL SAN JUAN NEPOMUCENO,SUPERSALUD,BOLIVAR,SAN JUAN NEPOMUCENO-BOLIVAR,SERVICIOS,0.02,-0.0,0.01,0.01,0.0
800220495,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL THE BEST EMERALDS S. A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.0,0.01
900283709,AKIRA CINE LTDA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.01,0.0
900125288,AGRIANDES DAYMSA SA,SUPERSOCIEDADES,CUNDINAMARCA,COTA -CUNDINAMARCA,COMERCIO,0.02,0.0,0.01,0.0,0.01
901147329,FARMACOL CHINOIN S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,-0.01,0.04,0.01,0.03
800234328,800234328,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.01,0.0
806014433,CH PEREIRA & CIA SAS,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,CONSTRUCCIÓN,0.02,0.0,0.02,0.01,0.02
800023646,SEGURIDAD COSMOS LTDA,SUPERVIGILANCIA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.0,0.0
890332889,TECNICA DE PAPELES SAS,SUPERSOCIEDADES,VALLE,YUMBO-VALLE,MANUFACTURA,0.02,0.0,0.01,0.0,0.01
